"...1","latitude","longitude","datetime","Wildfire","pr","rmax","rmin","sph","srad","tmmn","tmmx","vs","bi","fm100","fm1000","erc","etr","pet","vpd","region"
7246,33.6366569991294,-116.128275,2025-01-01,"No",0,45.8,9,0.00248,140.8,278.3,297.1,2.2,53,9.1,7.8,75,4.7,2.9,1.53,"Southwest"
7247,33.6366569991294,-116.128275,2025-01-02,"No",0,42.1,7,0.00213,142.3,277.4,297,2.1,54,8,7.8,78,4.7,2.8,1.55,"Southwest"
7248,33.6366569991294,-116.128275,2025-01-03,"No",0,26.7,2.3,0.00139,129.3,278.4,297.8,2.3,60,6.6,7.6,83,5.4,3.3,1.78,"Southwest"
7249,33.6366569991294,-116.128275,2025-01-04,"No",0,51.7,10.3,0.00284,142,278.4,297.9,3.5,67,6.8,7.5,81,6.6,4,1.55,"Southwest"
7250,33.6366569991294,-116.128275,2025-01-05,"No",0,37.1,5.8,0.00205,129.3,278.8,298,3,66,6.2,7.3,83,6.4,3.8,1.7,"Southwest"
7251,33.6366569991294,-116.128275,2025-01-06,"No",0,47.4,9.7,0.00263,142.8,278.6,297.2,2.6,61,6.3,7.3,83,5.3,3.3,1.52,"Southwest"
7252,33.6366569991294,-116.128275,2025-01-07,"No",0,37.6,13.5,0.00278,127.5,283.1,294.5,6,87,6.1,7.2,81,8.4,5.1,1.43,"Southwest"
7253,33.6366569991294,-116.128275,2025-01-08,"No",0,37.3,10.3,0.00251,144.8,281.7,295.8,7.1,100,6,7.1,84,9.8,5.9,1.53,"Southwest"
7254,33.6366569991294,-116.128275,2025-01-09,"No",0,29.6,3.7,0.00162,149.2,279,297.5,5.1,89,5.4,7,87,9.2,5.5,1.73,"Southwest"
7255,33.6366569991294,-116.128275,2025-01-10,"No",0,33.1,4.9,0.00162,149.9,277.2,295.5,2.9,68,5.1,6.9,88,5.8,3.5,1.5,"Southwest"
7256,33.6366569991294,-116.128275,2025-01-11,"No",0,40,4.8,0.00179,149.6,275.7,297.3,3.1,71,5.2,6.8,88,6.4,3.9,1.59,"Southwest"
7257,33.6366569991294,-116.128275,2025-01-12,"No",0,32.2,7.1,0.00178,150.9,279,293.9,4.4,82,5,6.7,88,7.2,4.4,1.4,"Southwest"
7258,33.6366569991294,-116.128275,2025-01-13,"No",0,35.2,7.9,0.00179,152.2,277.7,293,4.2,80,5,6.6,88,6.7,4.1,1.29,"Southwest"
7259,33.6366569991294,-116.128275,2025-01-14,"No",0,34.6,6,0.00163,153.1,276.6,294,3.9,79,5,6.5,90,6.7,4.1,1.36,"Southwest"
7260,33.6366569991294,-116.128275,2025-01-15,"Yes",0,33.1,4.7,0.00164,154.1,277.4,296,3.3,74,4.8,6.4,91,6.5,4,1.54,"Southwest"
7261,33.6366569991294,-116.128275,2025-01-16,"Yes",0,30.5,3.6,0.00153,105.1,277.7,296.8,2.6,68,4.6,6.3,91,5.8,3.6,1.64,"Southwest"
7262,33.6366569991294,-116.128275,2025-01-17,"Yes",0,47,12.6,0.00273,154.4,279.3,295,3.2,68,5.3,6.3,87,5.7,3.5,1.34,"Southwest"
7263,33.6366569991294,-116.128275,2025-01-18,"Yes",0,59.6,15.2,0.00304,157.6,277.2,294.6,2,55,6.1,6.4,85,3.9,2.5,1.19,"Southwest"
7264,33.6366569991294,-116.128275,2025-01-19,"Yes",0,65.1,15.5,0.00302,157.5,275.8,294.2,2.1,55,7,6.5,83,4,2.6,1.13,"Southwest"
7265,33.6366569991294,-116.128275,2025-01-20,"Yes",0,41.2,9,0.00214,161.4,277.8,294.7,5,84,6.6,6.4,86,7.8,4.7,1.37,"Southwest"
